You look like the Justin Beiber that didn't get famous and now you work at a gas station,1
" Your hair says “I’m going to rape you,” and your eyes say, “but not before I shoot up my school.”",1
Your Adam’s apple looks like it was carved out of your chin,1
Fuck you,1
You're stupid,1
Go fuck yourself,1
What a waste,1
She looks like a frog.,1
"Well, if Bill Clinton is a rapist, shouldn’t he be viewed as dangerous by liberal—oh wait, he’s a Democrat, rules don’t apply.",1
What a fucking cunt,1
You're a whore,1
"So blow it out your ass, both sides are pretty much shit that should have died already",1
I hope you die,1
End your life,1
Your life is worthless. I dislike you as a person,1
You suck,1
You stink my boy,1
Your life is pointless,1
Stop being such a cunt,1
I don't talk to retards,1
Nice job,0
Good work,0
Hope you're doing well,0
This is great,0
I love it,0
What a well made post. Good shit,0
"I miss you, come back!",0
Dude that's sick. Nice,0
That's wonderful. Glad to hear.,0
I like it!,0
You are an amazing person,0
I have friends,0
I'm glad we're friends,0
This is so nice,0
You aren't too shabby yourself,0
I think that you're the best,0
Let's go play something,0
Are you ok?,0
I hope you're doing well,0
Have fun!,0
